k,N,i,err logdet,err linsolve,niter,err trace noise,err trace l
0,1,63,0.0091769595621217,5.4402366842058754e-14,90,0.0039656550251211,0.1252676821835888
0,1,64,0.0273733743385323,5.4339167385159605e-14,91,0.0231661710512988,0.3000192913276862
0,1,65,0.0974464456199563,5.4339167385159605e-14,91,0.0861492453111005,0.5497241371981263
0,1,66,0.0081264506715223,5.4402366842058754e-14,90,0.0083386947577004,0.3621246438208113
0,1,67,0.006123089891494,5.4402366842058754e-14,90,0.0064777774990622,0.0822787392243342
0,1,68,0.0063674400023145,5.4339167385159605e-14,91,0.0166747730720877,0.1558261985280153
0,1,69,0.0995001870796762,5.4402366842058754e-14,90,0.0904504173094915,0.7508225731296767
0,1,70,0.0887616754604257,5.4339167385159605e-14,91,0.0805568822056533,0.0271906344744941
0,1,71,0.0816218318514894,5.4402366842058754e-14,90,0.0734410811110981,0.720741347540605
0,1,72,0.0056853437137635,5.4402366842058754e-14,90,0.0031454222095647,0.3391289783366317
0,1,73,0.0951284348982317,5.4402366842058754e-14,90,0.0915856096501822,0.1721202910794608
0,1,74,0.0533658725908536,5.4402366842058754e-14,90,0.0580240407600744,0.1231494788142219
0,1,75,0.0122826615303098,5.4402366842058754e-14,90,0.0155875453890704,0.4429399207717951
0,1,76,0.0232633343088897,5.4402366842058754e-14,90,0.0327406367823426,0.3412744957084253
0,1,77,0.0452169589045863,5.4402366842058754e-14,90,0.0366723469481675,0.4935909568582891
0,1,78,0.0281100455369524,5.4402366842058754e-14,90,0.0180538278459496,0.0977577291481772
0,1,79,0.0628359534704043,5.4402366842058754e-14,90,0.072805112176165,0.2625487589422494
0,1,80,0.0193605483302588,5.4402366842058754e-14,90,0.0114367552149924,0.2631320263583313
0,1,81,0.0062353386122396,5.4402366842058754e-14,90,0.0303676336885445,0.7688534614824709
0,1,82,0.0366899059084205,5.4402366842058754e-14,90,0.043459036298707,0.0824858969477017
0,1,83,0.0014076482479713,5.4402366842058754e-14,90,0.004412085371194,0.5107808763933198
0,1,84,0.0083762958960544,5.4402366842058754e-14,90,0.0220590232181887,0.6673996915946764
0,1,85,0.0453575383993992,5.4402366842058754e-14,90,0.0446831733770431,0.6606552086090841
