,kernel,data,d,r,k,gamma,eig_A11,cond,max_rank,rank,kernel_eigs,kernel_params,pivchol_trace,sigma2,time_kernel,time_pivchol,prod
103,Matern,normal,1,3,101,38.22275843806144,0.0005380035132542119,5.611602345980614,300,300,0.06438894563408358,"(0.1, 2.5)",3.860343429192949,0.1,0.20069605599564966,8.834251114007202,2.4611231150530477
104,Matern,normal,1,3,111,42.33035988869438,0.00032028840663780433,2.5049737562122467,300,300,0.03774820404041835,"(0.1, 2.5)",2.463829156121901,0.1,0.20069605599564966,8.834251114007202,1.597895062182776
105,Matern,normal,1,3,121,51.85570648474859,0.00018900068659154993,2.247709675028771,300,300,0.02164571776683563,"(0.1, 2.5)",1.6826182973721364,0.1,0.20069605599564966,8.834251114007202,1.1224539871687362
106,Matern,normal,1,3,131,45.7112919356358,0.00011904585148355381,2.004780390067294,300,300,0.014011470501530536,"(0.1, 2.5)",1.0763782256210133,0.1,0.20069605599564966,8.834251114007202,0.6404824185430117
107,Matern,normal,1,3,141,52.24482148847526,7.798282659744471e-05,1.338361832171715,300,300,0.008532006541790906,"(0.1, 2.5)",0.6886651967949706,0.1,0.20069605599564966,8.834251114007202,0.445753158714369
108,Matern,normal,1,3,151,49.388783580193525,4.8816388199014744e-05,1.1886860030972188,300,300,0.0059902435415419095,"(0.1, 2.5)",0.4078288454293024,0.1,0.20069605599564966,8.834251114007202,0.29585084186586535
109,Matern,normal,1,3,161,59.56383904332894,3.1311828514497066e-05,1.1256055418267783,300,300,0.003424425017574648,"(0.1, 2.5)",0.2587586899220773,0.1,0.20069605599564966,8.834251114007202,0.2039719005627652
110,Matern,normal,1,3,171,58.86926130095025,2.120639304915131e-05,1.1166803731288482,300,300,0.002470655671555079,"(0.1, 2.5)",0.18269399894294877,0.1,0.20069605599564966,8.834251114007202,0.14544567431345065
111,Matern,normal,1,3,181,54.91725735383746,1.4586765525292464e-05,1.050276690757879,300,300,0.0015423351484629764,"(0.1, 2.5)",0.13640066280623334,0.1,0.20069605599564966,8.834251114007202,0.08470081627401038
112,Matern,normal,1,3,191,58.06890957362949,1.00928312913896e-05,1.040769417486604,300,300,0.0010970386336447632,"(0.1, 2.5)",0.11003316854543889,0.1,0.20069605599564966,8.834251114007202,0.0637038372158958
113,Matern,normal,1,3,201,67.7776662198611,7.060548514413967e-06,1.0371319120160543,300,300,0.0007629707459345188,"(0.1, 2.5)",0.08984836094850665,0.1,0.20069605599564966,8.834251114007202,0.05171237655346826
114,Matern,normal,1,3,211,69.70977581132381,5.020698855554756e-06,1.0371319118866438,300,300,0.0005482023083524288,"(0.1, 2.5)",0.07089001459824114,0.1,0.20069605599564966,8.834251114007202,0.038215060014498016
115,Matern,normal,1,3,221,77.70988769178166,3.639165807090953e-06,1.0358629275469664,300,300,0.00041087890967888814,"(0.1, 2.5)",0.05590828127976234,0.1,0.20069605599564966,8.834251114007202,0.0319293539260681
116,Matern,normal,1,3,231,87.9940120009366,2.683055396372613e-06,1.0279113565705071,300,300,0.0003001610405823229,"(0.1, 2.5)",0.043697155236464884,0.1,0.20069605599564966,8.834251114007202,0.02641237420721454
117,Matern,normal,1,3,241,91.96870299986668,2.1128282824847347e-06,1.0166583485162508,300,300,0.0002189645013094889,"(0.1, 2.5)",0.03229638833222057,0.1,0.20069605599564966,8.834251114007202,0.020137881188446304
118,Matern,normal,1,3,251,91.65916649143203,1.674319452432701e-06,1.0155142100470809,300,300,0.0001607421649725588,"(0.1, 2.5)",0.024475702699992857,0.1,0.20069605599564966,8.834251114007202,0.014733492861413
119,Matern,normal,1,3,261,86.29496739692156,1.3036011065619694e-06,1.0059474943971434,300,300,0.00013857563386997614,"(0.1, 2.5)",0.01578057750199686,0.1,0.20069605599564966,8.834251114007202,0.01195837980681733
120,Matern,normal,1,3,271,91.08542524912286,9.838752329592379e-07,1.0044527316082603,300,300,0.00010185882230447981,"(0.1, 2.5)",0.011681450002823744,0.1,0.20069605599564966,8.834251114007202,0.009277854144978384
121,Matern,normal,1,3,281,98.22889723996985,7.448663290699211e-07,1.0043171206818298,300,300,8.036309813960101e-05,"(0.1, 2.5)",0.008784280872266681,0.1,0.20069605599564966,8.834251114007202,0.00789397850904048
