kernel,kernel_params,k,err_L,err_y,err_logdet,time,niter,N,r,err_dL1,err_dL2,err_trace1,err_trace2
SE,{'lengthscale': 0.2},0,0.023965423469560328,2.6101969972791237e-13,0.0050215498047898564,0.0795121880073566,83,1,38,0.10070584913124396,0.3170468005259911,0.0158105358779195,0.23737649407190206
SE,{'lengthscale': 0.2},0,0.0440499792932435,2.600989297381773e-12,0.009229929327217334,0.08347659300488885,77,1,39,0.005785244364281087,0.17247996082962835,0.0009082671401213938,0.12913768040425025
SE,{'lengthscale': 0.2},0,0.20917693764551523,2.6433379903732425e-13,0.04382949509462831,0.07717450200289022,82,1,40,0.23749625527714202,0.4348511481703739,0.037286246005798426,0.3255779298961308
SE,{'lengthscale': 0.2},0,0.09903114038610612,2.6433379903732425e-13,0.02075030321518956,0.09012934198835865,82,1,41,0.20049256945210223,0.10666716510269754,0.03147677111035999,0.07986290239310531
SE,{'lengthscale': 0.2},0,0.2526560803171523,6.091276676439743e-13,0.05293981524701124,0.07759235599951353,80,1,42,0.2550286541946496,0.42423340487533934,0.04003878346516632,0.3176283064530977
SE,{'lengthscale': 0.2},0,0.31599496435553887,2.6433379903732425e-13,0.06621140884861602,0.07752628499292769,82,1,43,0.3517626404708112,0.2874411240172841,0.05522574801416827,0.2152103921496929
SE,{'lengthscale': 0.2},0,0.06066675389521927,6.091276676439743e-13,0.01271169385204198,0.0990312729991274,80,1,44,0.023859813195751367,0.37540252798252416,0.0037459237554322957,0.28106808146312745
SE,{'lengthscale': 0.2},0,0.12061297713237498,6.091276676439743e-13,0.025272412671662428,0.20894876700185705,80,1,45,0.20394998262353453,0.3842285140445259,0.03201957528174641,0.287676196178826
SE,{'lengthscale': 0.2},0,0.4537981796448047,2.397388434620396e-13,0.09508574564946216,0.1942054579994874,84,1,46,0.520745274336905,0.2414509716711031,0.08175554760905916,0.18077704947796538
SE,{'lengthscale': 0.2},0,0.0836004775915924,6.091276676439743e-13,0.017517068390774597,0.2589093429996865,80,1,47,0.17811149682865898,1.319501662059475,0.027963005477557958,0.9879256877572865
SE,{'lengthscale': 0.2},0,0.4672257948179583,2.600989297381773e-12,0.0978992756685383,0.20936638399143703,77,1,48,0.5956683387657913,0.1100681478793105,0.09351825859809694,0.08240925632866512
SE,{'lengthscale': 0.2},0,0.6014437318346912,2.6433379903732425e-13,0.12602237794884955,0.2706707579927752,82,1,49,0.8261472200816047,0.20165418933966148,0.12970279657262118,0.15098075237158093
SE,{'lengthscale': 0.2},0,0.13663343794350172,2.6101969972791237e-13,0.028629229711051977,0.07701403899409343,83,1,50,0.15306373086307332,0.581760160883519,0.02403057646894875,0.43557035476148737
SE,{'lengthscale': 0.2},0,0.11340354348233174,2.397388434620396e-13,0.023761797589730748,0.12769955600379035,84,1,51,0.17676233709398667,0.0203809306444586,0.027751191183015635,0.01525943127124351
SE,{'lengthscale': 0.2},0,0.15890944688226913,2.6433379903732425e-13,0.03329679122857972,0.0794190750020789,82,1,52,0.23105058734967265,0.029703431626611602,0.03627429421845398,0.02223929227443972
